title,author,source_name,source_year,source_rank,source_category,isbn13,source_url
Cyrus the Great: The Arts of Leadership and War,Xenophon,Goodreads Library,2025,1,personal-library,9781429905312,
"Hey Whipple, Squeeze This - 2022: The Classic Guide to Creating Great Advertising, 6th Edition, Paperback",Luke Sullivan,Goodreads Library,2025,2,personal-library,9798388318886,
The Harvard Business Review Manager’s Handbook: The 17 Skills Leaders Need to Stand Out,Harvard Business Review,Goodreads Library,2025,3,personal-library,,
"The Wealth of Nations, Books 1-3",Adam Smith,Goodreads Library,2025,4,personal-library,9780140432084,
Acres of Diamonds,Russell H. Conwell,Goodreads Library,2025,5,personal-library,9781600960765,
Tested Advertising Methods,John Caples,Goodreads Library,2025,6,personal-library,,
"Rework Change The Way You Work Forever, It Doesn’t Have to Be Crazy at Work 2 Books Collection Set",Jason Fried,Goodreads Library,2025,7,personal-library,9789123944729,
"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity",Frank Slootman,Goodreads Library,2025,8,personal-library,9781119836407,
Cracking the Sales Management Code: The Secrets to Measuring and Managing Sales Performance,Jason  Jordan,Goodreads Library,2025,9,personal-library,9780071769617,
The Edge: How to Stand Out by Showing You’re All In (For Emerging Leaders and Those Who Lead Them),Adam Tarnow,Goodreads Library,2025,10,personal-library,9781544532158,
Hooked: How to Build Habit-Forming Products,Nir   Eyal,Goodreads Library,2025,11,personal-library,9780241971857,
Marketing Made Simple: A Step-by-Step StoryBrand Guide for Any Business,Donald Miller,Goodreads Library,2025,12,personal-library,9781400203796,
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,Goodreads Library,2025,13,personal-library,9780062969743,
The Art of Learning: A Journey in the Pursuit of Excellence,Josh Waitzkin,Goodreads Library,2025,14,personal-library,9780743277457,
The War of Art,Steven Pressfield,Goodreads Library,2025,15,personal-library,,
2 Second Lean: How to Grow People and Build a Fun Lean Culture,Paul A. Akers,Goodreads Library,2025,16,personal-library,9780984662227,
Mastering the Rockefeller Habits: What You Must Do to Increase the Value of Your Growing Firm,Verne Harnish,Goodreads Library,2025,17,personal-library,9781590790151,
"The Crash and Its Aftermath: A History of Securities Markets in the United States, 1929-1933 (Contributions in Economics and Economic History)",Barrie A. Wigmore,Goodreads Library,2025,18,personal-library,9780313245749,
Beyond Order: 12 More Rules For Life,Jordan B. Peterson,Goodreads Library,2025,19,personal-library,9780593084649,
The Wedge,Randy Schwantz,Goodreads Library,2025,20,personal-library,9781936362691,
Sales Blazers: 8 Goal-Shattering Strategies from the World's Top Sales Leaders,Mark Cook,Goodreads Library,2025,21,personal-library,9780071641616,
The Design of Everyday Things,Donald A. Norman,Goodreads Library,2025,22,personal-library,9780465067107,
Remote: Office Not Required,David Heinemeier Hansson,Goodreads Library,2025,24,personal-library,,
"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application",Jason Fried,Goodreads Library,2025,25,personal-library,,
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,Goodreads Library,2025,26,personal-library,9781982160272,
$100M Leads: How to Get Strangers To Want To Buy Your Stuff (Acquisition.com $100M Series),Alex Hormozi,Goodreads Library,2025,27,personal-library,,
High Output Management,Andrew S. Grove,Goodreads Library,2025,28,personal-library,9780679762881,
The Mind of the Strategist: The Art of Japanese Business,Kenichi Ohmae,Goodreads Library,2025,29,personal-library,9780070479043,
Rapport: The Four Ways to Read People,Emily Alison,Goodreads Library,2025,30,personal-library,,
Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,Goodreads Library,2025,31,personal-library,9780062458193,
The Power of Crisis: How Three Threats – and Our Response – Will Change the World,Ian Bremmer,Goodreads Library,2025,32,personal-library,,
Invent and Wander: The Collected Writings of Jeff Bezos,Jeff Bezos,Goodreads Library,2025,33,personal-library,9781647820718,
"The Google Story: Inside the Hottest Business, Media and Technology Success of Our Time",David A. Vise,Goodreads Library,2025,34,personal-library,9780553383669,
What Would Google Do?: Reverse Engineering Business Strategies for Survival and Success in the Internet Era,Jeff Jarvis,Goodreads Library,2025,35,personal-library,9780061709715,
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,Goodreads Library,2025,36,personal-library,9780062390851,
The Innovator's Solut!on: Creating and Sustaining Successful Growth,Clayton M. Christensen,Goodreads Library,2025,37,personal-library,9781578518524,
"The Upstarts: How Uber, Airbnb, and the Killer Companies of the New Silicon Valley Are Changing the World",Brad Stone,Goodreads Library,2025,38,personal-library,9780593076354,
The Joy of Costco: A Treasure Hunt from A to Z,David Schwartz,Goodreads Library,2025,39,personal-library,9781959505006,
"The Space Barons: Elon Musk, Jeff Bezos, and the Quest to Colonize the Cosmos",Christian Davenport,Goodreads Library,2025,40,personal-library,9781610398299,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,Goodreads Library,2025,41,personal-library,9780062301239,
Super Pumped: The Battle for Uber,Mike Isaac,Goodreads Library,2025,42,personal-library,9780393652246,
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Goodreads Library,2025,43,personal-library,,
Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,Goodreads Library,2025,44,personal-library,9781982172008,
Amazon Unbound: Jeff Bezos and the Invention of a Global Empire,Brad Stone,Goodreads Library,2025,45,personal-library,9781982132613,
"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,Goodreads Library,2025,46,personal-library,9781328546395,
Elon Musk,Walter Isaacson,Goodreads Library,2025,47,personal-library,9781982181284,
"Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,Goodreads Library,2025,48,personal-library,9781524742676,
"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,Goodreads Library,2025,49,personal-library,9780735213654,
Modern Man in Search of a Soul,C.G. Jung,Goodreads Library,2025,50,personal-library,9780156612067,
The Slicing Pie Handbook: Perfectly Fair Equity Splits for Bootstrapped Startups (Mike Moyer's Virtual Dojo),Mike Moyer,Goodreads Library,2025,51,personal-library,,
How to Adult: An Illustrated Guide,Stephen Wildish,Goodreads Library,2025,52,personal-library,9781728279794,
Badass: Making Users Awesome,Kathy Sierra,Goodreads Library,2025,53,personal-library,9781491919019,
Return to the Little Kingdom: Steve Jobs and the Creation of Apple,Michael Moritz,Goodreads Library,2025,54,personal-library,9781590202814,
Where Wizards Stay Up Late: The Origins of the Internet,Katie Hafner,Goodreads Library,2025,55,personal-library,9780684832678,
The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,Goodreads Library,2025,56,personal-library,9780142001356,
Blueprint to a Billion: 7 Essentials to Achieve Exponential Growth,David G. Thomson,Goodreads Library,2025,57,personal-library,9780471747475,
The Pragmatic Programmer: From Journeyman to Master,Andy   Hunt,Goodreads Library,2025,58,personal-library,9780201616224,
Tune In: How to Make Smarter Decisions in a Noisy World,Nuala Walsh,Goodreads Library,2025,59,personal-library,9780857199959,
The End of Average: How We Succeed in a World That Values Sameness,Todd Rose,Goodreads Library,2025,60,personal-library,9780062358363,
Re-Imagine!: Business Excellence in a Disruptive Age,Tom Peters,Goodreads Library,2025,61,personal-library,9780756617462,
Guerrilla Marketing: Easy and Inexpensive Strategies for Making Big Profits from Your Small Business,Jay Conrad Levinson,Goodreads Library,2025,62,personal-library,9780618785919,
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Goodreads Library,2025,63,personal-library,,
The Midnight Library,Matt Haig,Goodreads Library,2025,64,personal-library,9780525559474,
How To Argue With A Cat,Jay Heinrichs,Goodreads Library,2025,65,personal-library,9781846149573,
Multipliers: How the Best Leaders Make Everyone Smarter,Liz Wiseman,Goodreads Library,2025,66,personal-library,9780061964398,
Marketing Myopia (Harvard Business Review Classics),Theodore Levitt,Goodreads Library,2025,67,personal-library,9781422126011,
The Robot-Proof Recruiter: A Survival Guide for Recruitment and Sourcing Professionals,Katrina  Collier,Goodreads Library,2025,68,personal-library,9780749493226,
The Marketer as Philosopher,Flint McGlaughlin,Goodreads Library,2025,69,personal-library,,
The Soul of an Entrepreneur: Work and Life Beyond the Startup Myth,David Sax,Goodreads Library,2025,70,personal-library,9781541736009,
"The Like Switch: An Ex-FBI Agent's Guide to Influencing, Attracting, and Winning People Over (The Like Switch Series)",Jack Schafer,Goodreads Library,2025,71,personal-library,9781476754482,
UX: A Comprehensive Beginner’s Guide to Learn the Realms of UX Programming,Eric Schmidt,Goodreads Library,2025,72,personal-library,,
The Deadline Effect,Christopher Cox,Goodreads Library,2025,73,personal-library,9781471190445,
Direct from Dell Strategies That Revolutionized an Industry,Michael Dell,Goodreads Library,2025,74,personal-library,9780006531272,
Play Nice But Win: A CEO's Journey from Founder to Leader,Michael Dell,Goodreads Library,2025,75,personal-library,9780593087749,
"Out Where the West Begins, Volume 2: Creating and Civilizing the American West (Volume 2)",Philip F. Anschutz,Goodreads Library,2025,76,personal-library,9780990550211,
"Out Where the West Begins: Profiles, Visions, and Strategies of Early Western Business Leaders",Philip F. Anschutz,Goodreads Library,2025,77,personal-library,9780990550204,
"Why Motivating People Doesn't Work . . . and What Does: The New Science of Leading, Energizing, and Engaging",Susan    Fowler,Goodreads Library,2025,78,personal-library,9781626561823,
Founding Sales: The Early Stage Go-to-Market Handbook,Peter R Kazanjy,Goodreads Library,2025,79,personal-library,9781734505108,
Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,Goodreads Library,2025,80,personal-library,9781892005038,
The Four Agreements: A Practical Guide to Personal Freedom,Miguel Ruiz,Goodreads Library,2025,81,personal-library,9781878424501,
Loved: How to Market Tech Products Customers Adore,Martina Lauchengco,Goodreads Library,2025,82,personal-library,9781119704393,
Transformed: Moving to the Product Operating Model (Silicon Valley Product Group),Marty Cagan,Goodreads Library,2025,83,personal-library,9781119697336,
"Empowered: Ordinary People, Extraordinary Products (Silicon Valley Product Group)",Marty Cagan,Goodreads Library,2025,84,personal-library,9781119691297,
Business Model Generation,Alexander Osterwalder,Goodreads Library,2025,85,personal-library,9782839906173,
Feel-Good Productivity: How to Do More of What Matters to You,Ali  Abdaal,Goodreads Library,2025,86,personal-library,9781250865038,
"Search Inside Yourself: The Unexpected Path to Achieving Success, Happiness (And World Peace)",Chade-Meng Tan,Goodreads Library,2025,87,personal-library,9780062116925,
The 5 Elements of Effective Thinking,Edward B. Burger,Goodreads Library,2025,88,personal-library,9780691156668,
"Tell to Win: Connect, Persuade, and Triumph with the Hidden Power of Story",Peter Guber,Goodreads Library,2025,89,personal-library,9780307587954,
You Are Not So Smart,David McRaney,Goodreads Library,2025,90,personal-library,9781592406593,
Scaling Up: How a Few Companies Make It...and Why the Rest Don't (Rockefeller Habits 2.0 Revised Edition),Verne Harnish,Goodreads Library,2025,91,personal-library,9780986019524,
The Dictator's Handbook: Why Bad Behavior Is Almost Always Good Politics,Bruce Bueno de Mesquita,Goodreads Library,2025,92,personal-library,9781610390446,
I Love Capitalism!: An American Story,Ken Langone,Goodreads Library,2025,93,personal-library,9780735216242,
The CEO Next Door: The 4 Behaviours that Transform Ordinary People into World Class Leaders,Elena L. Botelho,Goodreads Library,2025,94,personal-library,,
"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success",Brad Stulberg,Goodreads Library,2025,95,personal-library,9781623367930,
The House of Dimon: How JPMorgan's Jamie Dimon Rose to the Top of the Financial World,Patricia Crisafulli,Goodreads Library,2025,96,personal-library,,
The Truth About Employee Engagement: A Fable About Addressing the Three Root Causes of Job Misery,Patrick Lencioni,Goodreads Library,2025,97,personal-library,,
After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,Goodreads Library,2025,98,personal-library,9780063009813,
Principles of Economics,Saifedean Ammous,Goodreads Library,2025,99,personal-library,9798987975510,
The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,Goodreads Library,2025,100,personal-library,9781119473862,
The New Gold Standard: 5 Leadership Principles for Creating a Legendary Customer Experience Courtesy of the Ritz-Carlton Hotel Company,Joseph A. Michelli,Goodreads Library,2025,101,personal-library,9780071548335,
Onassis: An Extravagant Life,Frank Brady,Goodreads Library,2025,102,personal-library,,
Designing Your Life: Build a Life that Works for You,Bill Burnett,Goodreads Library,2025,103,personal-library,9781784740245,
Designing Your Work Life: How to Thrive and Change and Find Happiness at Work,Bill Burnett,Goodreads Library,2025,104,personal-library,9780525655244,
"Designing Your Life: How to Build a Well-Lived, Joyful Life",Bill Burnett,Goodreads Library,2025,105,personal-library,,
How to Be a Power Connector: The 5+50+100 Rule for Turning Your Business Network into Profits,Judy Robinett,Goodreads Library,2025,106,personal-library,9780071830737,
Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,Goodreads Library,2025,107,personal-library,9781591847489,
"Steal the Show: From Speeches to Job Interviews to Deal-Closing Pitches, How to Guarantee a Standing Ovation for All the Performances in Your Life",Michael Port,Goodreads Library,2025,108,personal-library,9780544555181,
Thinking In Systems: A Primer,Donella H. Meadows,Goodreads Library,2025,109,personal-library,9781603580557,
Financial Intelligence for Entrepreneurs: What You Really Need to Know About the Numbers,Karen Berman,Goodreads Library,2025,110,personal-library,9781422119150,
Story by Robert McKee (1998-06-04),Robert McKee,Goodreads Library,2025,111,personal-library,,
